analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_bundle_id	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
1009	ukb-b-2468	ukb-b-2468	Parsnip intake	Parsnip intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2468.vcf.gz				261972534	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64949			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1010	ukb-b-2469	ukb-b-2469	Operative procedures - main OPCS: P27.3 Colposcopy of vagina	Operative procedures - main OPCS: P27.3 Colposcopy of vagina			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2469.vcf.gz				67771979	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1391	461619	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1011	ukb-b-2482	ukb-b-2482	Years since last cervical smear test	Years since last cervical smear test			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2482.vcf.gz				289503804	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	192526			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1012	ukb-b-2483	ukb-b-2483	Operative procedures - secondary OPCS: Y90.3 Scanning NEC	Operative procedures - secondary OPCS: Y90.3 Scanning NEC			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2483.vcf.gz				124173860	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	3251	459759	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1013	ukb-b-2506	ukb-b-2506	Eye problems/disorders: None of the above	Eye problems/disorders: None of the above			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2506.vcf.gz				278971504	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	150642	117423	33219	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1014	ukb-b-2512	ukb-b-2512	White pasta intake	White pasta intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2512.vcf.gz				262235093	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64949			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1015	ukb-b-2522	ukb-b-2522	Operation code: removal of testicle/orchidectomy	Operation code: removal of testicle/orchidectomy			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2522.vcf.gz				72713005	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	1481	461452	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1016	ukb-b-2525	ukb-b-2525	Operative procedures - secondary OPCS: Z47.2 Skin of temple	Operative procedures - secondary OPCS: Z47.2 Skin of temple			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2525.vcf.gz				72908013	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1485	461525	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1017	ukb-b-2528	ukb-b-2528	Operation code: spinal laminectomy	Operation code: spinal laminectomy			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2528.vcf.gz				134588791	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	3951	458982	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1018	ukb-b-2530	ukb-b-2530	Leek intake	Leek intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2530.vcf.gz				262017276	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64949			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1019	ukb-b-2533	ukb-b-2533	Operation code: lower limb surgery	Operation code: lower limb surgery			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2533.vcf.gz				100327842	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	2189	460744	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1020	ukb-b-2535	ukb-b-2535	Falls in the last year	Falls in the last year			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2535.vcf.gz				301137365	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	461725			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1021	ukb-b-2557	ukb-b-2557	Smoked cigarette or pipe within last hour	Smoked cigarette or pipe within last hour			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2557.vcf.gz				150739949	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	43496	5587	37909	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1022	ukb-b-256	ukb-b-256	Manic/hyper symptoms: None of the above	Manic/hyper symptoms: None of the above			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-256.vcf.gz				183350774	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	31317	11226	20091	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1023	ukb-b-2561	ukb-b-2561	Diagnoses - main ICD10: D17.1 Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk	Diagnoses - main ICD10: D17.1 Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2561.vcf.gz				94607180	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2006	461004	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1024	ukb-b-2582	ukb-b-2582	Operative procedures - secondary OPCS: O14.2 Sentinel lymph node	Operative procedures - secondary OPCS: O14.2 Sentinel lymph node			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2582.vcf.gz				50949839	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1138	461872	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1025	ukb-b-2592	ukb-b-2592	Non-cancer illness code, self-reported: irritable bowel syndrome	Non-cancer illness code, self-reported: irritable bowel syndrome			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2592.vcf.gz				183521283	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	10939	451994	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1026	ukb-b-260	ukb-b-260	Types of spreads/sauces consumed: Tomato ketchup	Types of spreads/sauces consumed: Tomato ketchup			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-260.vcf.gz				111553967	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	64949	2690	62259	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1027	ukb-b-2603	ukb-b-2603	Average monthly fortified wine intake	Average monthly fortified wine intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2603.vcf.gz				232485058	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	34270			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1028	ukb-b-2618	ukb-b-2618	Nitrogen dioxide air pollution; 2005	Nitrogen dioxide air pollution; 2005			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2618.vcf.gz				301605220	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	456380			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1029	ukb-b-2625	ukb-b-2625	Diagnoses - secondary ICD10: M47.82 Other spondylosis (Cervical region)	Diagnoses - secondary ICD10: M47.82 Other spondylosis (Cervical region)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2625.vcf.gz				41368416	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1018	461992	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1030	ukb-b-2630	ukb-b-2630	Diagnoses - secondary ICD10: Z98.0 Intestinal bypass and anastomosis status	Diagnoses - secondary ICD10: Z98.0 Intestinal bypass and anastomosis status			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2630.vcf.gz				54019167	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1178	461832	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1031	ukb-b-2634	ukb-b-2634	Duration of heavy DIY	Duration of heavy DIY			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2634.vcf.gz				287879488	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	182778			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1032	ukb-b-266	ukb-b-266	Current eye infection	Current eye infection			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-266.vcf.gz				49268704	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	102466	1110	101356	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1033	ukb-b-2669	ukb-b-2669	Treatment/medication code: vitamin b compound tablet	Treatment/medication code: vitamin b compound tablet			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2669.vcf.gz				125516863	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	3328	459605	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1034	ukb-b-2691	ukb-b-2691	Coleslaw intake	Coleslaw intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2691.vcf.gz				262047598	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64949			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1035	ukb-b-2703	ukb-b-2703	PCT responsible for patient data: HALTON AND ST HELENS PCT	PCT responsible for patient data: HALTON AND ST HELENS PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2703.vcf.gz				99691394	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2167	460843	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1036	ukb-b-2709	ukb-b-2709	Year ended full time education	Year ended full time education			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2709.vcf.gz				277606855	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	112569			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1037	ukb-b-2715	ukb-b-2715	PCT where patients GP was registered: TRAFFORD SOUTH PCT	PCT where patients GP was registered: TRAFFORD SOUTH PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2715.vcf.gz				100041391	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2179	460831	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1038	ukb-b-2719	ukb-b-2719	Operation code: laparotomy nos	Operation code: laparotomy nos			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2719.vcf.gz				110312297	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	2568	460365	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1039	ukb-b-2729	ukb-b-2729	Age heart attack diagnosed	Age heart attack diagnosed			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2729.vcf.gz				176338926	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	10339			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1040	ukb-b-2732	ukb-b-2732	Time from waking to first cigarette	Time from waking to first cigarette			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2732.vcf.gz				230061677	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	33304			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1041	ukb-b-2750	ukb-b-2750	Type of cancer: ICD10: C43.7 Malignant melanoma of lower limb, including hip	Type of cancer: ICD10: C43.7 Malignant melanoma of lower limb, including hip			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2750.vcf.gz				44649118	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1058	461952	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1042	ukb-b-2763	ukb-b-2763	Orange juice intake	Orange juice intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2763.vcf.gz				262192367	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64949			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1043	ukb-b-2769	ukb-b-2769	Operative procedures - main OPCS: Q11.3 Evacuation of products of conception from uterus NEC	Operative procedures - main OPCS: Q11.3 Evacuation of products of conception from uterus NEC			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2769.vcf.gz				68762796	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1408	461602	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1044	ukb-b-277	ukb-b-277	Vitamin and/or mineral supplement use: Evening primrose	Vitamin and/or mineral supplement use: Evening primrose			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-277.vcf.gz				117170592	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	64949	2960	61989	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1045	ukb-b-2772	ukb-b-2772	Getting up in morning	Getting up in morning			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2772.vcf.gz				301493601	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	461658			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1046	ukb-b-2804	ukb-b-2804	Diagnoses - main ICD10: S52.50 Fracture of lower end of radius (closed)	Diagnoses - main ICD10: S52.50 Fracture of lower end of radius (closed)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2804.vcf.gz				113218848	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2696	460314	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1047	ukb-b-282	ukb-b-282	Indian snacks intake	Indian snacks intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-282.vcf.gz				261665734	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64949			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1048	ukb-b-2823	ukb-b-2823	Treatment speciality of consultant (recoded): Maxillo-facial surgery	Treatment speciality of consultant (recoded): Maxillo-facial surgery			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2823.vcf.gz				69226973	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	444008	1417	442591	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1049	ukb-b-2830	ukb-b-2830	Financial situation satisfaction	Financial situation satisfaction			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2830.vcf.gz				285005948	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	152153			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1050	ukb-b-2832	ukb-b-2832	Fizzy drink intake	Fizzy drink intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2832.vcf.gz				262179286	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64949			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1051	ukb-b-2838	ukb-b-2838	PCT where patients GP was registered: DURHAM AND CHESTER-LE-STREET PCT	PCT where patients GP was registered: DURHAM AND CHESTER-LE-STREET PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2838.vcf.gz				78826939	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1606	461404	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1052	ukb-b-2846	ukb-b-2846	6mm strong meridian angle (left)	6mm strong meridian angle (left)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2846.vcf.gz				270338339	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	83410			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1053	ukb-b-2854	ukb-b-2854	Diagnoses - secondary ICD10: W19.9 Unspecified place	Diagnoses - secondary ICD10: W19.9 Unspecified place			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2854.vcf.gz				108782624	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2506	460504	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1054	ukb-b-2862	ukb-b-2862	Beef intake	Beef intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2862.vcf.gz				301522339	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	461053			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1055	ukb-b-2867	ukb-b-2867	Lettuce intake	Lettuce intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2867.vcf.gz				261899728	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64949			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1056	ukb-b-2875	ukb-b-2875	Diagnoses - main ICD10: M16.1 Other primary coxarthrosis	Diagnoses - main ICD10: M16.1 Other primary coxarthrosis			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2875.vcf.gz				117130194	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2876	460134	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1057	ukb-b-288	ukb-b-288	Treatment/medication code: folic acid product	Treatment/medication code: folic acid product			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-288.vcf.gz				133723038	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	3883	459050	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1058	ukb-b-2895	ukb-b-2895	Diagnoses - secondary ICD10: Z60.2 Living alone	Diagnoses - secondary ICD10: Z60.2 Living alone			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2895.vcf.gz				128141036	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	3497	459513	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1059	ukb-b-29	ukb-b-29	Porridge intake	Porridge intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-29.vcf.gz				262203384	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64949			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1060	ukb-b-290	ukb-b-290	Operation code: upper limb surgery	Operation code: upper limb surgery			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-290.vcf.gz				111149546	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	2605	460328	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1061	ukb-b-2909	ukb-b-2909	Variation in diet	Variation in diet			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2909.vcf.gz				301218834	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	460884			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1062	ukb-b-295	ukb-b-295	Operative procedures - main OPCS: Q08.9 Unspecified vaginal excision of uterus	Operative procedures - main OPCS: Q08.9 Unspecified vaginal excision of uterus			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-295.vcf.gz				94585487	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	2006	461004	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1063	ukb-b-2951	ukb-b-2951	Operative procedures - secondary OPCS: Z50.1 Skin of arm	Operative procedures - secondary OPCS: Z50.1 Skin of arm			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2951.vcf.gz				135604409	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	4026	458984	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1064	ukb-b-2953	ukb-b-2953	Operation code: radical prostatectomy	Operation code: radical prostatectomy			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2953.vcf.gz				72316162	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	1473	461460	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1065	ukb-b-2954	ukb-b-2954	Methods of discharge from hospital (recoded): Discharged on clinical advice/consent: Transfer within provider	Methods of discharge from hospital (recoded): Discharged on clinical advice/consent: Transfer within provider			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2954.vcf.gz				150278786	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462236	5384	456852	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1066	ukb-b-2963	ukb-b-2963	Treatment/medication code: propranolol	Treatment/medication code: propranolol			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2963.vcf.gz				120750277	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	3060	459873	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1067	ukb-b-2964	ukb-b-2964	Diagnoses - secondary ICD10: F17.1 Harmful use	Diagnoses - secondary ICD10: F17.1 Harmful use			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2964.vcf.gz				72832733	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1483	461527	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1068	ukb-b-2966	ukb-b-2966	Milk intake	Milk intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2966.vcf.gz				262015324	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64943			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
1069	ukb-b-2973	ukb-b-2973	Diagnoses - secondary ICD10: K31.8 Other specified diseases of stomach and duodenum	Diagnoses - secondary ICD10: K31.8 Other specified diseases of stomach and duodenum			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-2973.vcf.gz				58831050	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1247	461763	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
