analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_bundle_id	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
25	ukb-b-13538	ukb-b-13538	6mm weak meridian (left)	6mm weak meridian (left)			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13538.vcf.gz				270564745	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	83410			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
26	ukb-b-13545	ukb-b-13545	Cancer code, self-reported: uterine/endometrial cancer	Cancer code, self-reported: uterine/endometrial cancer			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13545.vcf.gz				51965650	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	1151	461782	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
27	ukb-b-1355	ukb-b-1355	Number of diet questionnaires completed	Number of diet questionnaires completed			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-1355.vcf.gz				290402692	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	198623			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
28	ukb-b-13551	ukb-b-13551	Operative procedures - secondary OPCS: X72.1 Delivery of complex chemotherapy for neoplasm including prolonged infusional treatment at first attendance	Operative procedures - secondary OPCS: X72.1 Delivery of complex chemotherapy for neoplasm including prolonged infusional treatment at first attendance			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13551.vcf.gz				89891267	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	1875	461135	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
29	ukb-b-13556	ukb-b-13556	Red wine intake	Red wine intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13556.vcf.gz				261811221	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	total	analysis_level	64949			ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
30	ukb-b-13566	ukb-b-13566	Operative procedures - main OPCS: K63.6 Coronary arteriography NEC	Operative procedures - main OPCS: K63.6 Coronary arteriography NEC			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13566.vcf.gz				149802314	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	463010	5339	457671	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
31	ukb-b-13583	ukb-b-13583	Operation code: haemorroidectomy / piles surgery/ banding of piles	Operation code: haemorroidectomy / piles surgery/ banding of piles			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13583.vcf.gz				170679426	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	8266	454667	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
32	ukb-b-13584	ukb-b-13584	Illnesses of mother: Breast cancer	Illnesses of mother: Breast cancer			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13584.vcf.gz				235416746	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	423458	35102	388356	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
33	ukb-b-13607	ukb-b-13607	Operation code: gynaecological surgery	Operation code: gynaecological surgery			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13607.vcf.gz				111975488	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	462933	2640	460293	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
34	ukb-b-13609	ukb-b-13609	Treatment speciality of consultant (recoded): Obstetrics	Treatment speciality of consultant (recoded): Obstetrics			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-13609.vcf.gz				185828402	GRCh37	UK Biobank terms of access			MRC-IEU	Ben Elsworth	European	EUR	source_trusted_no_af	sd		declared_standardised	sd	case_control	analysis_level	444675	11480	433195	ukb-b	UK Biobank GWAS-VCF collection (batch ukb-b)	
