analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_url	source_bundle_id	filtered_file	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build	tissue	context
711	GCST90200332	GCST90200332	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2) levels	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2) levels	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2) measurement	EFO:0800609	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200332_GCST90200332.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200332/harmonised/GCST90200332.h.tsv.gz		GCST90200332_GCST90200332.filtered.tsv.gz	9b490ba7952a395ac6eae4fa9e01f3177ba8d4c2213b00093961a203d4d52cca	sha256	2292309	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.986816701384958	estimated_from_source_maf	sd	total	analysis_level	8115	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
712	GCST90200333	GCST90200333	Taurocholate levels	Taurocholate levels	taurocholate measurement	EFO:0010538	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200333_GCST90200333.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200333/harmonised/GCST90200333.h.tsv.gz		GCST90200333_GCST90200333.filtered.tsv.gz	d87e161254c57dacad6617ef1c161170eb932b84216611f52ff5ed5364afe02e	sha256	232578	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.997217009764246	estimated_from_source_maf	sd	total	analysis_level	7743	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
713	GCST90200334	GCST90200334	Taurodeoxycholate levels	Taurodeoxycholate levels	taurodeoxycholate measurement	EFO:0010539	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200334_GCST90200334.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200334/harmonised/GCST90200334.h.tsv.gz		GCST90200334_GCST90200334.filtered.tsv.gz	2c6f3bea112ac1b5dc31b0cc08d1168d0b0467d598100a8be3c138340954bfd2	sha256	231918	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.9962095862128	estimated_from_source_maf	sd	total	analysis_level	7287	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
714	GCST90200335	GCST90200335	Stearoyl sphingomyelin (d18:1/18:0) levels	Stearoyl sphingomyelin (d18:1/18:0) levels	stearoyl sphingomyelin (d18:1/18:0) measurement	EFO:0800611	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200335_GCST90200335.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200335/harmonised/GCST90200335.h.tsv.gz		GCST90200335_GCST90200335.filtered.tsv.gz	7c8bb8f752ed401651806dae49195a821df2dc5b6f0c5fe5672d9a95e7f22908	sha256	1952728	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.967186182800697	estimated_from_source_maf	sd	total	analysis_level	8258	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
715	GCST90200336	GCST90200336	N-palmitoyl-sphingosine (d18:1/16:0) levels	N-palmitoyl-sphingosine (d18:1/16:0) levels	N-palmitoyl-sphingosine (d18:1/16:0) measurement	EFO:0800607	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200336_GCST90200336.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200336/harmonised/GCST90200336.h.tsv.gz		GCST90200336_GCST90200336.filtered.tsv.gz	9c52cbef4101861129462fc803ee0753f23d4da61c8fbe5e5cdca3d5e0c49fd3	sha256	541808	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.984714235792324	estimated_from_source_maf	sd	total	analysis_level	8266	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
716	GCST90200337	GCST90200337	Taurochenodeoxycholate levels	Taurochenodeoxycholate levels	taurochenodeoxycholate measurement	EFO:0010537	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200337_GCST90200337.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200337/harmonised/GCST90200337.h.tsv.gz		GCST90200337_GCST90200337.filtered.tsv.gz	07217250e104d80af73867e808f6237a054f327af0c869346c6fab7913684611	sha256	232293	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.99217618366541	estimated_from_source_maf	sd	total	analysis_level	8048	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
717	GCST90200338	GCST90200338	4-hydroxyphenylacetate levels	4-hydroxyphenylacetate levels	4-hydroxyphenylacetate measurement	EFO:0800124	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200338_GCST90200338.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200338/harmonised/GCST90200338.h.tsv.gz		GCST90200338_GCST90200338.filtered.tsv.gz	a2161ed3d8afacb729eb59cd94ff8dcee2d06d862a72aa6b90fc5b49b99a706c	sha256	772399	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.968152499276387	estimated_from_source_maf	sd	total	analysis_level	7906	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
718	GCST90200339	GCST90200339	5,6-dihydrothymine levels	5,6-dihydrothymine levels	5,6-dihydrothymine measurement	EFO:0800638	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200339_GCST90200339.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200339/harmonised/GCST90200339.h.tsv.gz		GCST90200339_GCST90200339.filtered.tsv.gz	d034b5314ba44858c5c5ba26798b851fe74b21eccecdf6c72f7b8c8b1605992b	sha256	458411	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.984709576884837	estimated_from_source_maf	sd	total	analysis_level	8219	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
719	GCST90200340	GCST90200340	1-palmitoyl-2-oleoyl-gpc (16:0/18:1) levels	1-palmitoyl-2-oleoyl-gpc (16:0/18:1) levels	1-palmitoyl-2-oleoyl-GPC (16:0/18:1) measurement	EFO:0800612	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200340_GCST90200340.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200340/harmonised/GCST90200340.h.tsv.gz		GCST90200340_GCST90200340.filtered.tsv.gz	f7557e6ce9c51ac91be67e2dc18683ff7e9bee1c8d0f939087918a6ad19994fb	sha256	771502	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.994577880288325	estimated_from_source_maf	sd	total	analysis_level	8249	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
720	GCST90200341	GCST90200341	N-stearoyl-sphingosine (d18:1/18:0) levels	N-stearoyl-sphingosine (d18:1/18:0) levels	N-stearoyl-sphingosine (d18:1/18:0) measurement	EFO:0800613	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200341_GCST90200341.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200341/harmonised/GCST90200341.h.tsv.gz		GCST90200341_GCST90200341.filtered.tsv.gz	edf164bce0cc624f2b941fbe584c58e22e083d09d4f8fef3d76788ec68c3b797	sha256	2371833	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.986534150457122	estimated_from_source_maf	sd	total	analysis_level	8254	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
721	GCST90200342	GCST90200342	Glycochenodeoxycholate levels	Glycochenodeoxycholate levels	glycochenodeoxycholate measurement	EFO:0010490	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200342_GCST90200342.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200342/harmonised/GCST90200342.h.tsv.gz		GCST90200342_GCST90200342.filtered.tsv.gz	64afa725d3201b6cb2786c6db6553dfd8465478acc620676ff6dd48650d39ea5	sha256	233636	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.989110586394889	estimated_from_source_maf	sd	total	analysis_level	8164	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
722	GCST90200343	GCST90200343	N-formylmethionine levels	N-formylmethionine levels	N-formylmethionine measurement	EFO:0800128	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200343_GCST90200343.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200343/harmonised/GCST90200343.h.tsv.gz		GCST90200343_GCST90200343.filtered.tsv.gz	af2103beeb5970cc3c44fe37f321bfef02325809f6e35b8b0e36e930decfb53d	sha256	1130065	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.939091063556535	estimated_from_source_maf	sd	total	analysis_level	8235	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
723	GCST90200344	GCST90200344	N6,n6,n6-trimethyllysine levels	N6,n6,n6-trimethyllysine levels	N6,N6,N6-trimethyllysine measurement	EFO:0800126	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200344_GCST90200344.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200344/harmonised/GCST90200344.h.tsv.gz		GCST90200344_GCST90200344.filtered.tsv.gz	496ebbf9bd978028f78a7ae787c555072bed3757846dd751677a03a1e54f9b68	sha256	784398	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.954288558264247	estimated_from_source_maf	sd	total	analysis_level	8180	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
724	GCST90200345	GCST90200345	S-adenosylhomocysteine (SAH) levels	S-adenosylhomocysteine (SAH) levels	S-adenosylhomocysteine measurement	EFO:0010531	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200345_GCST90200345.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200345/harmonised/GCST90200345.h.tsv.gz		GCST90200345_GCST90200345.filtered.tsv.gz	c566ef5242cab08107d263e7f83df42e815734496a050f722f1958961e1bc3b4	sha256	943027	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.915565334514618	estimated_from_source_maf	sd	total	analysis_level	6142	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
725	GCST90200346	GCST90200346	4-acetaminophen sulfate levels	4-acetaminophen sulfate levels	4-acetaminophen sulfate measurement	EFO:0021156	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200346_GCST90200346.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200346/harmonised/GCST90200346.h.tsv.gz		GCST90200346_GCST90200346.filtered.tsv.gz	874f72bdbf16148b3f6aea72a03635f1fcc3eb83dd571b57ff95a3b90a8b7694	sha256	480047	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.981329739935983	estimated_from_source_maf	sd	total	analysis_level	4197	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
726	GCST90200347	GCST90200347	2-hydroxyhippurate (salicylurate) levels	2-hydroxyhippurate (salicylurate) levels	salicylurate measurement	EFO:0010532	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200347_GCST90200347.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200347/harmonised/GCST90200347.h.tsv.gz		GCST90200347_GCST90200347.filtered.tsv.gz	39e2fb883c447402ceb9bfc0ba0ad5e456597fe1aac3fcc766ef098a6df7db0e	sha256	719354	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.963865496244944	estimated_from_source_maf	sd	total	analysis_level	8244	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
727	GCST90200348	GCST90200348	Quinolinate levels	Quinolinate levels	quinolinate measurement	EFO:0800175	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200348_GCST90200348.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200348/harmonised/GCST90200348.h.tsv.gz		GCST90200348_GCST90200348.filtered.tsv.gz	69395f938b19aea51d219ee5f0a955e3d045fe51cfbd4721e11d717212550db6	sha256	1416009	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.925773891494721	estimated_from_source_maf	sd	total	analysis_level	8203	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
728	GCST90200349	GCST90200349	Eicosapentaenoate (EPA; 20:5n3) levels	Eicosapentaenoate (EPA; 20:5n3) levels	eicosapentaenoate (EPA; 20:5n3) measurement	EFO:0800616	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200349_GCST90200349.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200349/harmonised/GCST90200349.h.tsv.gz		GCST90200349_GCST90200349.filtered.tsv.gz	21029667b0579b17466d27d6ea43d0c7b89501aff67e90ae1ba4758713f0d111	sha256	487539	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.957123746371584	estimated_from_source_maf	sd	total	analysis_level	8257	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
729	GCST90200350	GCST90200350	Laurate (12:0) levels	Laurate (12:0) levels	laurate 12:0 measurement	EFO:0021105	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200350_GCST90200350.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200350/harmonised/GCST90200350.h.tsv.gz		GCST90200350_GCST90200350.filtered.tsv.gz	e184e2a0c12e634972d31a1c5dc030c00f3a1978b80723eca00f64291ea4fbc6	sha256	497885	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.952794380452385	estimated_from_source_maf	sd	total	analysis_level	8226	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
730	GCST90200351	GCST90200351	N-acetylputrescine levels	N-acetylputrescine levels	N-acetylputrescine measurement	EFO:0800127	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200351_GCST90200351.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200351/harmonised/GCST90200351.h.tsv.gz		GCST90200351_GCST90200351.filtered.tsv.gz	4f2fa0d58bc12a03353115fec369aac60593ff8a1ba1611bf0de62900c854673	sha256	1740196	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.96605950335146	estimated_from_source_maf	sd	total	analysis_level	8243	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
731	GCST90200352	GCST90200352	Methylsuccinate levels	Methylsuccinate levels	methylsuccinate measurement	EFO:0800129	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200352_GCST90200352.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200352/harmonised/GCST90200352.h.tsv.gz		GCST90200352_GCST90200352.filtered.tsv.gz	a412f463ff0bcd7c40b1b996684ba9b1105f664fc5a7780ed99d2cfa074367ff	sha256	864093	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.971147115901469	estimated_from_source_maf	sd	total	analysis_level	7965	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
732	GCST90200353	GCST90200353	9,10-DiHOME levels	9,10-DiHOME levels	level of 9,10-dihydroxyoctadec-12-enoic acid in blood plasma	OBA:2050345	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200353_GCST90200353.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200353/harmonised/GCST90200353.h.tsv.gz		GCST90200353_GCST90200353.filtered.tsv.gz	e651aafae2532bdd173a672202a7089a79a0f85d26e614d68883037d2b3201a1	sha256	232339	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.992932137320286	estimated_from_source_maf	sd	total	analysis_level	7557	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
733	GCST90200354	GCST90200354	Linoleate (18:2n6) levels	Linoleate (18:2n6) levels	linoleate (18:2n6) measurement	EFO:0800614	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200354_GCST90200354.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200354/harmonised/GCST90200354.h.tsv.gz		GCST90200354_GCST90200354.filtered.tsv.gz	499428b634c1045ed3196fdf2b882b62a3a112930c58617d8f701cb7e9ab4953	sha256	233303	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.958979748332015	estimated_from_source_maf	sd	total	analysis_level	8260	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
734	GCST90200355	GCST90200355	Adenosine 5'-diphosphate (ADP) levels	Adenosine 5'-diphosphate (ADP) levels	adenosine diphosphate measurement	EFO:0010452	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200355_GCST90200355.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200355/harmonised/GCST90200355.h.tsv.gz		GCST90200355_GCST90200355.filtered.tsv.gz	b64bf440a8dd105010240c6bad6b7256aac8ce2594a282c5d7938e4512b3afa8	sha256	232720	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.995681612991991	estimated_from_source_maf	sd	total	analysis_level	4607	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
735	GCST90200356	GCST90200356	Adenosine 5'-monophosphate (AMP) levels	Adenosine 5'-monophosphate (AMP) levels	Adenosine 5'-monophosphate measurement	EFO:0021574	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200356_GCST90200356.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200356/harmonised/GCST90200356.h.tsv.gz		GCST90200356_GCST90200356.filtered.tsv.gz	214ad34c9ac946cec12a5d3fe7a11f55f667c07fea3ae35b76684db2a870231e	sha256	231952	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.982415001925809	estimated_from_source_maf	sd	total	analysis_level	8218	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
736	GCST90200357	GCST90200357	Adenosine 3',5'-cyclic monophosphate (camp) levels	Adenosine 3',5'-cyclic monophosphate (camp) levels	cyclic adenosine monophosphate measurement	EFO:0010473	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200357_GCST90200357.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200357/harmonised/GCST90200357.h.tsv.gz		GCST90200357_GCST90200357.filtered.tsv.gz	670c9c5b11e4d0f79cb12ed93670349fb39d1469650479e0ce14c0c00caa9fe2	sha256	1269872	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.975589892360224	estimated_from_source_maf	sd	total	analysis_level	6756	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
737	GCST90200358	GCST90200358	Arachidonate (20:4n6) levels	Arachidonate (20:4n6) levels	arachidonate 20:4n6 measurement	EFO:0021063	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200358_GCST90200358.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200358/harmonised/GCST90200358.h.tsv.gz		GCST90200358_GCST90200358.filtered.tsv.gz	2e6ec70ed074d97b8c3ef96c2c4c90a31153983d9ef56ebbb5e033665afbf55b	sha256	534705	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.977014751489431	estimated_from_source_maf	sd	total	analysis_level	8272	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
738	GCST90200359	GCST90200359	5-methylthioadenosine (mta) levels	5-methylthioadenosine (mta) levels	5-methylthioadenosine (MTA) measurement	EFO:0800130	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200359_GCST90200359.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200359/harmonised/GCST90200359.h.tsv.gz		GCST90200359_GCST90200359.filtered.tsv.gz	fea4524578c0cfd7afa206a63f33f3fd84f22d06898de1e2c2834d6ef8f8817e	sha256	1621998	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.966666196066151	estimated_from_source_maf	sd	total	analysis_level	8210	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
739	GCST90200360	GCST90200360	Cortisone levels	Cortisone levels	cortisone measurement	EFO:0021118	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200360_GCST90200360.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200360/harmonised/GCST90200360.h.tsv.gz		GCST90200360_GCST90200360.filtered.tsv.gz	7d7f1c3ed59268db68f950628d88feb868e739550575575f01daef7ed6d6b633	sha256	232803	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.964304576672801	estimated_from_source_maf	sd	total	analysis_level	8153	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
740	GCST90200361	GCST90200361	Beta-alanine levels	Beta-alanine levels	beta-alanine measurement	EFO:0800640	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200361_GCST90200361.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200361/harmonised/GCST90200361.h.tsv.gz		GCST90200361_GCST90200361.filtered.tsv.gz	62dde1a1ce46162761edbc48a1ca144bdce08eac0889ea499bbb729c0c9f1fb4	sha256	975026	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.993443186690443	estimated_from_source_maf	sd	total	analysis_level	8114	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
741	GCST90200362	GCST90200362	Succinate levels	Succinate levels	succinate measurement	EFO:0011002	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90200362_GCST90200362.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200362/harmonised/GCST90200362.h.tsv.gz		GCST90200362_GCST90200362.filtered.tsv.gz	5fe1b513dc85c7b5636fe293a8010dd613c80d8fc11fced11f97361e87831f38	sha256	20473291	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.978440128587902	estimated_from_source_maf	sd	total	analysis_level	7943	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
