analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_url	source_bundle_id	filtered_file	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build	tissue	context
145	GCST90199766	GCST90199766	3-(3-amino-3-carboxypropyl)uridine levels	3-(3-amino-3-carboxypropyl)uridine levels	3-(3-amino-3-carboxypropyl)uridine measurement	EFO:0800632	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199766_GCST90199766.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199766/harmonised/GCST90199766.h.tsv.gz		GCST90199766_GCST90199766.filtered.tsv.gz	185c92b6f21d44c724d43e79a4a526c1b923351bd7257372ce31848f2820c031	sha256	883814	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.911291813337539	estimated_from_source_maf	sd	total	analysis_level	7679	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
146	GCST90199767	GCST90199767	5,6-dihydrouridine levels	5,6-dihydrouridine levels	5,6-dihydrouridine measurement	EFO:0800631	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199767_GCST90199767.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199767/harmonised/GCST90199767.h.tsv.gz		GCST90199767_GCST90199767.filtered.tsv.gz	54df21ed03ce6dc7cd1462082d87bc93253538ff699c8c4c9e9b3dcfbf29b4e4	sha256	830990	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.93635087516788	estimated_from_source_maf	sd	total	analysis_level	8210	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
147	GCST90199768	GCST90199768	Phenylacetylglutamine levels	Phenylacetylglutamine levels	phenylacetylglutamine measurement	EFO:0021013	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199768_GCST90199768.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199768/harmonised/GCST90199768.h.tsv.gz		GCST90199768_GCST90199768.filtered.tsv.gz	dacf2d0474a604daf4429479a15639d39d41ced2289529ac5a89804ba0c2cde4	sha256	233041	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.938626431326149	estimated_from_source_maf	sd	total	analysis_level	8251	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
148	GCST90199769	GCST90199769	3-hydroxydodecanedioate levels	3-hydroxydodecanedioate levels	3-hydroxydodecanedioate measurement	EFO:0800226	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199769_GCST90199769.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199769/harmonised/GCST90199769.h.tsv.gz		GCST90199769_GCST90199769.filtered.tsv.gz	c4e58f7c5bc2f4cd6a0c749a2b7c68a8671fc3c3b2ee7cd878431ed4fd50731c	sha256	490460	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.972036483794638	estimated_from_source_maf	sd	total	analysis_level	7168	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
149	GCST90199770	GCST90199770	1-arachidonylglycerol (20:4) levels	1-arachidonylglycerol (20:4) levels	1-arachidonylglycerol (20:4) measurement	EFO:0800224	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199770_GCST90199770.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199770/harmonised/GCST90199770.h.tsv.gz		GCST90199770_GCST90199770.filtered.tsv.gz	dc17e648774d233b0f871fb146e9a66c4ecc97c1d8958bdf312600220f615da4	sha256	1262404	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.954868713088683	estimated_from_source_maf	sd	total	analysis_level	7650	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
150	GCST90199771	GCST90199771	7-methylguanine levels	7-methylguanine levels	7-methylguanine measurement	EFO:0021123	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199771_GCST90199771.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199771/harmonised/GCST90199771.h.tsv.gz		GCST90199771_GCST90199771.filtered.tsv.gz	a07bd91566b9f8ea904e3fecd415c0927056dd703c98a731a290c52afb1ee862	sha256	559502	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.964351039265573	estimated_from_source_maf	sd	total	analysis_level	8239	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
151	GCST90199772	GCST90199772	1-stearoyl-GPE (18:0) levels	1-stearoyl-GPE (18:0) levels	1-stearoyl-GPE (18:0) measurement	EFO:0800227	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199772_GCST90199772.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199772/harmonised/GCST90199772.h.tsv.gz		GCST90199772_GCST90199772.filtered.tsv.gz	1cd9c6f177ebe3092db7f68f01ab431fa81fd095d3266cd9c30e18a0641975d5	sha256	1918166	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.97289421573416	estimated_from_source_maf	sd	total	analysis_level	8270	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
152	GCST90199773	GCST90199773	Phenol sulfate levels	Phenol sulfate levels	phenol sulfate measurement	EFO:0021011	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199773_GCST90199773.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199773/harmonised/GCST90199773.h.tsv.gz		GCST90199773_GCST90199773.filtered.tsv.gz	9d1a4dd33149e720127e52c723e516127eb8a8bee5fc8199cda15f4042cdf37f	sha256	233047	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	1.00517991763613	estimated_from_source_maf	sd	total	analysis_level	8249	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
153	GCST90199774	GCST90199774	Oleoylcarnitine (C18:1) levels	Oleoylcarnitine (C18:1) levels	oleoylcarnitine measurement	EFO:0021043	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199774_GCST90199774.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199774/harmonised/GCST90199774.h.tsv.gz		GCST90199774_GCST90199774.filtered.tsv.gz	0d28a22c4dd123ce3fe31a14a6a70351251c086e1556f288d4b201d0c50f2ffc	sha256	848311	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.972515333788505	estimated_from_source_maf	sd	total	analysis_level	8260	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
154	GCST90199775	GCST90199775	Gamma-glutamylisoleucine levels	Gamma-glutamylisoleucine levels	gamma-glutamylisoleucine measurement	EFO:0021139	source_provided	/data/opengwasdb/metabolome-plasma-2023/releases/2023-chen-full-european/filtered/GCST90199775_GCST90199775.filtered.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90199001-GCST90200000/GCST90199775/harmonised/GCST90199775.h.tsv.gz		GCST90199775_GCST90199775.filtered.tsv.gz	053a4a822fca5030fda05b5609a8fb8a9bad8167f0d68788ddd3eb2c71dd20fc	sha256	554256	GRCh38	EBI GWAS Catalog terms of use	10.1038/s41588-022-01270-1	36635386	Chen et al. 2023	Chen Y	European	EUR	af_assigned	sd	0.957524837365807	estimated_from_source_maf	sd	total	analysis_level	8267	0	0	PMID36635386	full_ancestry_split_metabolome_release		plasma	metabolomics
