analysis_id	source_analysis_id	study_design	category	reason	detail	resolver_status	exclude_from_build
GCST004450	GCST004450	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004451	GCST004451	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004452	GCST004452	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004453	GCST004453	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004454	GCST004454	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004455	GCST004455	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004456	GCST004456	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004457	GCST004457	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004458	GCST004458	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004459	GCST004459	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004460	GCST004460	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004692	GCST004692	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004824	GCST004824	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004826	GCST004826	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004833	GCST004833	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004901	GCST004901	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004924	GCST004924	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004925	GCST004925	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004926	GCST004926	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004927	GCST004927	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004928	GCST004928	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004929	GCST004929	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004930	GCST004930	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004931	GCST004931	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004932	GCST004932	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004939	GCST004939	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004940	GCST004940	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004941	GCST004941	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004952	GCST004952	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST004954	GCST004954	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005038	GCST005038	case-control	ancestry	ancestry_unassigned	gate_reason=residual	success	true
GCST005047	GCST005047	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005058	GCST005058	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005059	GCST005059	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005060	GCST005060	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005061	GCST005061	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005062	GCST005062	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005063	GCST005063	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005064	GCST005064	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005065	GCST005065	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005066	GCST005066	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005067	GCST005067	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005068	GCST005068	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005069	GCST005069	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005070	GCST005070	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005071	GCST005071	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005072	GCST005072	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005073	GCST005073	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005074	GCST005074	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005178	GCST005178	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005179	GCST005179	quantitative	ancestry	ancestry_unassigned	gate_reason=residual	success	true
GCST005180	GCST005180	quantitative	ancestry	ancestry_unassigned	gate_reason=residual	success	true
GCST005185	GCST005185	quantitative	ancestry	ancestry_unassigned	gate_reason=residual	success	true
GCST005186	GCST005186	quantitative	ancestry	ancestry_unassigned	gate_reason=residual	success	true
GCST005212	GCST005212	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005215	GCST005215	quantitative	orientation	orientation_failure	eaf_orientation=failed gate_reason=residual r=-0.25245389628134535	success	true
GCST005216	GCST005216	quantitative	orientation	orientation_failure	eaf_orientation=failed gate_reason=residual r=-0.23725909183500954	success	true
GCST005217	GCST005217	quantitative	orientation	orientation_failure	eaf_orientation=failed gate_reason=residual r=-0.008968449187878324	success	true
GCST005218	GCST005218	quantitative	orientation	orientation_failure	eaf_orientation=failed gate_reason=residual r=-0.41603093275041125	success	true
GCST005219	GCST005219	quantitative	orientation	orientation_failure	eaf_orientation=failed gate_reason=residual r=-0.023769019484166935	success	true
GCST005220	GCST005220	quantitative	orientation	orientation_failure	eaf_orientation=failed gate_reason=residual r=-0.023685066776740895	success	true
GCST005221	GCST005221	quantitative	orientation	orientation_failure	eaf_orientation=failed gate_reason=residual r=-0.25302074958701065	success	true
GCST005222	GCST005222	quantitative	orientation	orientation_failure	eaf_orientation=failed gate_reason=residual r=-0.2528752058430076	success	true
GCST005223	GCST005223	quantitative	orientation	orientation_failure	eaf_orientation=failed gate_reason=residual r=-0.028216941263907717	success	true
GCST005232	GCST005232	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005362	GCST005362	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005367	GCST005367	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005413	GCST005413	case-control	ancestry	ancestry_unassigned	gate_reason=residual	success	true
GCST005522	GCST005522	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005523	GCST005523	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005524	GCST005524	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005527	GCST005527	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005528	GCST005528	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005529	GCST005529	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005531	GCST005531	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005536	GCST005536	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005538	GCST005538	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005540	GCST005540	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005543	GCST005543	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005569	GCST005569	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005581	GCST005581	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005626	GCST005626	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005686	GCST005686	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005831	GCST005831	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005841	GCST005841	case-control	ancestry	ancestry_unassigned	gate_reason=proportion	success	true
GCST005845	GCST005845	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005846	GCST005846	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005847	GCST005847	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005848	GCST005848	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005849	GCST005849	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005850	GCST005850	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005898	GCST005898	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005920	GCST005920	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005921	GCST005921	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005923	GCST005923	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST005964	GCST005964	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006044	GCST006044	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006045	GCST006045	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006046	GCST006046	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006047	GCST006047	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006061	GCST006061	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006065	GCST006065	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006227	GCST006227	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006228	GCST006228	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006229	GCST006229	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006230	GCST006230	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006231	GCST006231	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006250	GCST006250	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006258	GCST006258	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006259	GCST006259	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006268	GCST006268	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006326	GCST006326	quantitative	ancestry	ancestry_unassigned	gate_reason=residual	success	true
GCST006327	GCST006327	quantitative	ancestry	ancestry_unassigned	gate_reason=residual	success	true
GCST006328	GCST006328	quantitative	ancestry	ancestry_unassigned	gate_reason=residual	success	true
GCST006329	GCST006329	quantitative	resolution	resolution_failed	ValueError: Duplicate effect column 'beta' in header	controlled_failure	true
GCST006368	GCST006368	quantitative	ancestry	ancestry_unassigned	gate_reason=residual	success	true
GCST006390	GCST006390	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006407	GCST006407	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006476	GCST006476	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006477	GCST006477	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006478	GCST006478	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006489	GCST006489	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006490	GCST006490	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006533	GCST006533	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006534	GCST006534	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006537	GCST006537	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006538	GCST006538	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006540	GCST006540	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006542	GCST006542	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006543	GCST006543	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006544	GCST006544	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006545	GCST006545	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006546	GCST006546	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006547	GCST006547	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006548	GCST006548	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006549	GCST006549	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006550	GCST006550	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006551	GCST006551	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006552	GCST006552	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006553	GCST006553	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006554	GCST006554	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006620	GCST006620	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006661	GCST006661	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006862	GCST006862	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006937	GCST006937	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006938	GCST006938	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006957	GCST006957	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST006980	GCST006980	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST007320	GCST007320	case-control	ancestry	ancestry_unassigned	gate_reason=residual	success	true
GCST007515	GCST007515	case-control	ancestry	ancestry_unassigned	gate_reason=residual	success	true
GCST007516	GCST007516	case-control	ancestry	ancestry_unassigned	gate_reason=residual	success	true
GCST007518	GCST007518	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST007638	GCST007638	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST007857	GCST007857	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST007858	GCST007858	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST008225	GCST008225	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST009541	GCST009541	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST009722	GCST009722	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST009760	GCST009760	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010003	GCST010003	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010004	GCST010004	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010005	GCST010005	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010116	GCST010116	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010696	GCST010696	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010697	GCST010697	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010698	GCST010698	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010699	GCST010699	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010700	GCST010700	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010701	GCST010701	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010702	GCST010702	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010703	GCST010703	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010763	GCST010763	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010764	GCST010764	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010765	GCST010765	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010766	GCST010766	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010767	GCST010767	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010768	GCST010768	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010769	GCST010769	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010770	GCST010770	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010771	GCST010771	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010772	GCST010772	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010773	GCST010773	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST010774	GCST010774	case-control	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011079	GCST011079	case-control	ancestry	ancestry_unassigned	gate_reason=residual	success	true
GCST011321	GCST011321	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011322	GCST011322	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011323	GCST011323	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011324	GCST011324	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011325	GCST011325	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011326	GCST011326	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011327	GCST011327	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011328	GCST011328	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
GCST011329	GCST011329	quantitative	ancestry	ancestry_unassigned	gate_reason=overlap	success	true
