analysis_id	source_analysis_id	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	ancestry_reference_id	af_overlap	dominant_superpop	dominant_proportion	runner_up_margin	nnls_residual	gate_reason	eaf_orientation	eaf_orientation_r	source_assigned_mismatch	ancestry_notes	ancestry_prop_AFR	ancestry_prop_AMR	ancestry_prop_EAS	ancestry_prop_EUR	ancestry_prop_MID	ancestry_prop_NAF	ancestry_prop_SAS
GCST90006892	GCST90006892	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00806592	ok	passed	0.978066	false		0	0	0	1	0	0	0
GCST90006893	GCST90006893	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00601408	ok	passed	0.978237	false		0	0	0	1	0	0	0
GCST90006894	GCST90006894	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00635768	ok	passed	0.97823	false		0	0	0	1	0	0	0
GCST90006895	GCST90006895	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00638132	ok	passed	0.978246	false		0	0	0	1	0	0	0
GCST90006896	GCST90006896	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00640231	ok	passed	0.978259	false		0	0	0	1	0	0	0
GCST90006897	GCST90006897	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00601408	ok	passed	0.978237	false		0	0	0	1	0	0	0
GCST90006898	GCST90006898	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00613945	ok	passed	0.978223	false		0	0	0	1	0	0	0
GCST90006899	GCST90006899	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00613003	ok	passed	0.978237	false		0	0	0	1	0	0	0
GCST90006900	GCST90006900	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00607358	ok	passed	0.978259	false		0	0	0	1	0	0	0
GCST90006901	GCST90006901	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00613433	ok	passed	0.978273	false		0	0	0	1	0	0	0
GCST90006902	GCST90006902	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00601108	ok	passed	0.978237	false		0	0	0	1	0	0	0
GCST90006903	GCST90006903	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00601408	ok	passed	0.978237	false		0	0	0	1	0	0	0
GCST90006904	GCST90006904	European	EUR	af_assigned	ref_freqs.hg38.tsv.gz	50000	EUR	1	1	0.00623972	ok	passed	0.978228	false		0	0	0	1	0	0	0
