analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_bundle_id	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
ukb-b-9261	ukb-b-9261	PCT responsible for patient data: LEEDS PCT	PCT responsible for patient data: LEEDS PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9261.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	9352	453658		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9263	ukb-b-9263	Operation code: inguinal/femoral hernia repair	Operation code: inguinal/femoral hernia repair			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9263.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	15516	447417		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9266	ukb-b-9266	PCT responsible for patient data: SEFTON PCT	PCT responsible for patient data: SEFTON PCT			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9266.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	2489	460521		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9270	ukb-b-9270	Diagnoses - main ICD10: O68.0 Labour and delivery complicated by foetal heart rate anomaly	Diagnoses - main ICD10: O68.0 Labour and delivery complicated by foetal heart rate anomaly			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9270.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1009	462001		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9275	ukb-b-9275	Type of fat/oil used in cooking: Olive spread	Type of fat/oil used in cooking: Olive spread			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9275.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	64949	3348	61601		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-929	ukb-b-929	Frequency of tiredness / lethargy in last 2 weeks	Frequency of tiredness / lethargy in last 2 weeks			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-929.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	total	analysis_level	449019				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9290	ukb-b-9290	Treatment/medication code: cetirizine	Treatment/medication code: cetirizine			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9290.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	5206	457727		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9294	ukb-b-9294	Operative procedures - secondary OPCS: K63.6 Coronary arteriography NEC	Operative procedures - secondary OPCS: K63.6 Coronary arteriography NEC			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9294.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	2443	460567		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-93	ukb-b-93	Operative procedures - secondary OPCS: T87.3 Excision or biopsy of axillary lymph node	Operative procedures - secondary OPCS: T87.3 Excision or biopsy of axillary lymph node			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-93.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1503	461507		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-930	ukb-b-930	Instant coffee intake	Instant coffee intake			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-930.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	total	analysis_level	64949				all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9306	ukb-b-9306	Non-cancer illness code, self-reported: back problem	Non-cancer illness code, self-reported: back problem			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9306.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	462933	8246	454687		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9312	ukb-b-9312	Operative procedures - secondary OPCS: H22.1 Diagnostic fibreoptic endoscopic examination of colon and biopsy of lesion of colon	Operative procedures - secondary OPCS: H22.1 Diagnostic fibreoptic endoscopic examination of colon and biopsy of lesion of colon			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9312.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1504	461506		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
ukb-b-9319	ukb-b-9319	Operative procedures - secondary OPCS: M47.3 Removal of urethral catheter from bladder	Operative procedures - secondary OPCS: M47.3 Removal of urethral catheter from bladder			unmapped	/data/opengwasdb/raw/gwas-vcf/ukb-b/ukb-b-9319.vcf.gz					GRCh37							unassigned	sd		declared_standardised	sd	case_control	analysis_level	463010	1178	461832		all ukb-b traits in the OpenGWAS IGD collection (data/ukb-b/manifest.tsv)	
