analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_url	source_bundle_id	downloaded_file	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
2477	GCST90274786	GCST90274786	Protein S100-A12 levels	Protein S100-A12 levels	protein S100-A12 measurement	http://www.ebi.ac.uk/efo/EFO_0010925	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274786/harmonised/GCST90274786.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274786/harmonised/GCST90274786.h.tsv.gz		GCST90274786.h.tsv.gz	732b694e93b9368c3c7971ec0afbed6b6a40b7baac21431d37c1dc186f03cae0	sha256	351534965	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.09708	estimated_from_source_maf	sd	total	analysis_level	14743				selected_ready_source	
2478	GCST90274787	GCST90274787	Fibroblast growth factor 19 levels	Fibroblast growth factor 19 levels	fibroblast growth factor 19  level	OBA:2050123	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274787/harmonised/GCST90274787.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274787/harmonised/GCST90274787.h.tsv.gz		GCST90274787.h.tsv.gz	d8baf8ed3bd0090ed78196838e196a543b1a342bfd249b5747ab8b0f1e1e469d	sha256	351540824	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.09955	estimated_from_source_maf	sd	total	analysis_level	14744				selected_ready_source	
2479	GCST90274788	GCST90274788	Fibroblast growth factor 21 levels	Fibroblast growth factor 21 levels	fibroblast growth factor 21  level	OBA:2050137	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274788/harmonised/GCST90274788.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274788/harmonised/GCST90274788.h.tsv.gz		GCST90274788.h.tsv.gz	bb60c67f3dda49a11b4bc278e2b1d6be6f5c61a9b744c81b68f316b1845401c4	sha256	351504788	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.10061	estimated_from_source_maf	sd	total	analysis_level	14743				selected_ready_source	
2480	GCST90274789	GCST90274789	Fibroblast growth factor 23 levels	Fibroblast growth factor 23 levels	fibroblast growth factor 23  level	OBA:2050164	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274789/harmonised/GCST90274789.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274789/harmonised/GCST90274789.h.tsv.gz		GCST90274789.h.tsv.gz	7b233c12c84a2deaa0cd847c3dabed59cb9b12d8566697d3c7f133185385b4f7	sha256	351532814	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.06585	estimated_from_source_maf	sd	total	analysis_level	14735				selected_ready_source	
2481	GCST90274790	GCST90274790	Fibroblast growth factor 5 levels	Fibroblast growth factor 5 levels	fibroblast growth factor 5  level	OBA:2050152	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274790/harmonised/GCST90274790.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274790/harmonised/GCST90274790.h.tsv.gz		GCST90274790.h.tsv.gz	99b9febf4c43fecd6967cbd4dad34b90a8ad59a4ef8ccba3d39ce45c2173fa0f	sha256	343433664	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.049	estimated_from_source_maf	sd	total	analysis_level	11789				selected_ready_source	
2482	GCST90274791	GCST90274791	Fms-related tyrosine kinase 3 ligand levels	Fms-related tyrosine kinase 3 ligand levels	fms-related tyrosine kinase 3 ligand measurement	http://www.ebi.ac.uk/efo/EFO_0010785	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274791/harmonised/GCST90274791.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274791/harmonised/GCST90274791.h.tsv.gz		GCST90274791.h.tsv.gz	aca61005764cd6c4ebb7169793c39eb61570af15e2d4c624406cd481a84d8c18	sha256	351599459	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.08756	estimated_from_source_maf	sd	total	analysis_level	14734				selected_ready_source	
2483	GCST90274792	GCST90274792	Glial cell line-derived neurotrophic factor levels	Glial cell line-derived neurotrophic factor levels	glial cell line-derived neurotrophic factor measurement	http://www.ebi.ac.uk/efo/EFO_0021887	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274792/harmonised/GCST90274792.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274792/harmonised/GCST90274792.h.tsv.gz		GCST90274792.h.tsv.gz	06fa1bc1096c252ad08829b053e17147076f1f09be1eac9bd8fd5d3ce6439dd0	sha256	351566646	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.0759	estimated_from_source_maf	sd	total	analysis_level	14736				selected_ready_source	
2484	GCST90274793	GCST90274793	Hepatocyte growth factor levels	Hepatocyte growth factor levels	hepatocyte growth factor  level	OBA:2050155	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274793/harmonised/GCST90274793.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274793/harmonised/GCST90274793.h.tsv.gz		GCST90274793.h.tsv.gz	0f33001b276cea9ce5b8288f5e6892bdba4a3394c8b8ca3e785dd15a5d1b82ac	sha256	351478962	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.07477	estimated_from_source_maf	sd	total	analysis_level	14734				selected_ready_source	
2485	GCST90274794	GCST90274794	Interferon gamma levels	Interferon gamma levels	interferon gamma measurement	http://www.ebi.ac.uk/efo/EFO_0008165	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274794/harmonised/GCST90274794.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274794/harmonised/GCST90274794.h.tsv.gz		GCST90274794.h.tsv.gz	91404d4ad158d4fb7285e46cf46c6e76df45edd7cf1eccee9f5720e2a68536e5	sha256	343678341	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.06588	estimated_from_source_maf	sd	total	analysis_level	11793				selected_ready_source	
2486	GCST90274795	GCST90274795	Interleukin-10 levels	Interleukin-10 levels	obsolete_interleukin-10 measurement	http://www.ebi.ac.uk/efo/EFO_0020488	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274795/harmonised/GCST90274795.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274795/harmonised/GCST90274795.h.tsv.gz		GCST90274795.h.tsv.gz	0c42373f942753a4dda8561b6c3b2b30ad49ee5e2628d9dc08757b55e560893b	sha256	351645705	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.0958	estimated_from_source_maf	sd	total	analysis_level	14744				selected_ready_source	
2487	GCST90274796	GCST90274796	Interleukin-10 receptor subunit alpha levels	Interleukin-10 receptor subunit alpha levels	interleukin-10 receptor subunit alpha measurement	http://www.ebi.ac.uk/efo/EFO_0021890	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274796/harmonised/GCST90274796.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274796/harmonised/GCST90274796.h.tsv.gz		GCST90274796.h.tsv.gz	8d361e64c0e7b1f679ab27810881b4e987985149dd7a20de1dc849ee33940cb3	sha256	343716539	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.08062	estimated_from_source_maf	sd	total	analysis_level	11793				selected_ready_source	
2488	GCST90274797	GCST90274797	Interleukin-10 receptor subunit beta levels	Interleukin-10 receptor subunit beta levels	interleukin-10 receptor subunit beta measurement	http://www.ebi.ac.uk/efo/EFO_0020489	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274797/harmonised/GCST90274797.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274797/harmonised/GCST90274797.h.tsv.gz		GCST90274797.h.tsv.gz	140ff2ec0d2952f0264c32f4646cf7a0267f6758037d73ff6af74c6ee869f691	sha256	351533881	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.06693	estimated_from_source_maf	sd	total	analysis_level	14734				selected_ready_source	
2489	GCST90274798	GCST90274798	Interleukin-12 subunit beta levels	Interleukin-12 subunit beta levels	level of interleukin-12 subunit beta in blood	OBA:2050349	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274798/harmonised/GCST90274798.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274798/harmonised/GCST90274798.h.tsv.gz		GCST90274798.h.tsv.gz	ba30d093acb53d0c0a0154f962d0f8808bcf77d7d433c072dced2802b647dd81	sha256	351549728	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.08933	estimated_from_source_maf	sd	total	analysis_level	14735				selected_ready_source	
2490	GCST90274799	GCST90274799	Interleukin-13 levels	Interleukin-13 levels	obsolete_interleukin-13 measurement	http://www.ebi.ac.uk/efo/EFO_0802655	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274799/harmonised/GCST90274799.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274799/harmonised/GCST90274799.h.tsv.gz		GCST90274799.h.tsv.gz	f1583d4a5fc12e72fd2b31815dce86070062d20c06d5b701e77f715c07a25c33	sha256	343678752	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.08003	estimated_from_source_maf	sd	total	analysis_level	11792				selected_ready_source	
2491	GCST90274800	GCST90274800	Interleukin-15 receptor subunit alpha levels	Interleukin-15 receptor subunit alpha levels	obsolete_interleukin-15 receptor subunit alpha measurement	http://www.ebi.ac.uk/efo/EFO_0801716	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274800/harmonised/GCST90274800.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274800/harmonised/GCST90274800.h.tsv.gz		GCST90274800.h.tsv.gz	5226d71c268122f74d99a11001ce5c5eaf9849b7bd36063bee6b8f1f238624c1	sha256	343592750	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.05351	estimated_from_source_maf	sd	total	analysis_level	11792				selected_ready_source	
2492	GCST90274801	GCST90274801	Interleukin-17A levels	Interleukin-17A levels	interleukin-17A measurement	http://www.ebi.ac.uk/efo/EFO_0022026	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274801/harmonised/GCST90274801.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274801/harmonised/GCST90274801.h.tsv.gz		GCST90274801.h.tsv.gz	05948b8a3c5bf87a5206c97e35faeb92a3e6cd0d9b10b37ceb52540adcb0fb4b	sha256	343704557	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.07905	estimated_from_source_maf	sd	total	analysis_level	11784				selected_ready_source	
2493	GCST90274802	GCST90274802	Interleukin-17C levels	Interleukin-17C levels	interleukin-17C measurement	http://www.ebi.ac.uk/efo/EFO_0802656	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274802/harmonised/GCST90274802.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274802/harmonised/GCST90274802.h.tsv.gz		GCST90274802.h.tsv.gz	9bb26495a54307d2eb02b6554e6737d13e587494b0b1cd03b4e00616bda79392	sha256	343898024	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.07761	estimated_from_source_maf	sd	total	analysis_level	11793				selected_ready_source	
2494	GCST90274803	GCST90274803	Interleukin-18 levels	Interleukin-18 levels	interleukin 18 measurement	http://www.ebi.ac.uk/efo/EFO_0004581	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274803/harmonised/GCST90274803.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274803/harmonised/GCST90274803.h.tsv.gz		GCST90274803.h.tsv.gz	768d15474db982b840a63cc08626bae850208bb5c4085e285d3ed904afece958	sha256	351642785	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.09015	estimated_from_source_maf	sd	total	analysis_level	14744				selected_ready_source	
2495	GCST90274804	GCST90274804	interleukin-18 receptor 1 levels	interleukin-18 receptor 1 levels	obsolete_interleukin-18 receptor 1 measurement	http://www.ebi.ac.uk/efo/EFO_0801721	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274804/harmonised/GCST90274804.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274804/harmonised/GCST90274804.h.tsv.gz		GCST90274804.h.tsv.gz	b2a38c8f498c0ee76016c8c5eaf1ac6a7c1b3de1cd5d0376f0d0ae0b68613c0c	sha256	351668391	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.08845	estimated_from_source_maf	sd	total	analysis_level	14743				selected_ready_source	
2496	GCST90274805	GCST90274805	Interleukin-1-alpha levels	Interleukin-1-alpha levels	interleukin-1 alpha measurement	http://www.ebi.ac.uk/efo/EFO_0009412	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274805/harmonised/GCST90274805.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274805/harmonised/GCST90274805.h.tsv.gz		GCST90274805.h.tsv.gz	b0f0c920b9fce184e15fa241ef7cb8eeab4708b9a1b9caef34364b07f8735f0e	sha256	343655560	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.07877	estimated_from_source_maf	sd	total	analysis_level	11788				selected_ready_source	
2497	GCST90274806	GCST90274806	Interleukin-2 levels	Interleukin-2 levels	obsolete_interleukin-2 measurement	http://www.ebi.ac.uk/efo/EFO_0801723	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274806/harmonised/GCST90274806.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274806/harmonised/GCST90274806.h.tsv.gz		GCST90274806.h.tsv.gz	60ed350dc054487ce89156be2f1112b4a4c251b6149645c95c5e122e020b7d6d	sha256	343571231	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.07364	estimated_from_source_maf	sd	total	analysis_level	11789				selected_ready_source	
2498	GCST90274807	GCST90274807	Interleukin-20 levels	Interleukin-20 levels	interleukin-20 measurement	http://www.ebi.ac.uk/efo/EFO_0020496	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274807/harmonised/GCST90274807.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274807/harmonised/GCST90274807.h.tsv.gz		GCST90274807.h.tsv.gz	bde2251be189e8034b469d9b3f6de23ea29717a461b9262b7a6891dfbbe82874	sha256	343678260	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.06666	estimated_from_source_maf	sd	total	analysis_level	11784				selected_ready_source	
2499	GCST90274808	GCST90274808	Interleukin-20 receptor subunit alpha levels	Interleukin-20 receptor subunit alpha levels	interleukin-20 receptor subunit alpha measurement	http://www.ebi.ac.uk/efo/EFO_0020497	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274808/harmonised/GCST90274808.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274808/harmonised/GCST90274808.h.tsv.gz		GCST90274808.h.tsv.gz	b88fa5b6aaf221cb8c613841f779d2853906829c30c84826570ae1b51bd14a68	sha256	343683044	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.08632	estimated_from_source_maf	sd	total	analysis_level	11792				selected_ready_source	
2500	GCST90274809	GCST90274809	Interleukin-22 receptor subunit alpha-1 levels	Interleukin-22 receptor subunit alpha-1 levels	interleukin-22 receptor subunit alpha-1 measurement	http://www.ebi.ac.uk/efo/EFO_0020499	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274809/harmonised/GCST90274809.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274809/harmonised/GCST90274809.h.tsv.gz		GCST90274809.h.tsv.gz	7cb0a447bd70f880aeba1fd8f46620bd76c9527ba674b7de723c6dbf0d4e3ec7	sha256	343713039	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.09723	estimated_from_source_maf	sd	total	analysis_level	11793				selected_ready_source	
2501	GCST90274810	GCST90274810	Interleukin-24 levels	Interleukin-24 levels	interleukin-24 measurement	http://www.ebi.ac.uk/efo/EFO_0020502	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274810/harmonised/GCST90274810.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274810/harmonised/GCST90274810.h.tsv.gz		GCST90274810.h.tsv.gz	a6455bbae131cc126e976dd580c64508fb17426aaa63a8b39f4f0dbdb84442cc	sha256	343701561	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.09356	estimated_from_source_maf	sd	total	analysis_level	11785				selected_ready_source	
2502	GCST90274811	GCST90274811	Interleukin-2 receptor subunit beta levels	Interleukin-2 receptor subunit beta levels	interleukin-2 receptor subunit beta measurement	http://www.ebi.ac.uk/efo/EFO_0802657	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274811/harmonised/GCST90274811.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274811/harmonised/GCST90274811.h.tsv.gz		GCST90274811.h.tsv.gz	1fe7b089845940e5a96496fd177e0b176722adee4edde71591cc0af903c2a9a4	sha256	343685891	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.07328	estimated_from_source_maf	sd	total	analysis_level	11792				selected_ready_source	
2503	GCST90274812	GCST90274812	Interleukin-33 levels	Interleukin-33 levels	level of interleukin-33 in blood plasma	OBA:2050335	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274812/harmonised/GCST90274812.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274812/harmonised/GCST90274812.h.tsv.gz		GCST90274812.h.tsv.gz	55707fca03c54fbacef3064313d189e8c2c39b90fa8456e8616b024948e6fdcd	sha256	343665818	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.07239	estimated_from_source_maf	sd	total	analysis_level	11793				selected_ready_source	
2504	GCST90274813	GCST90274813	Interleukin-4 levels	Interleukin-4 levels	interleukin-4 measurement	http://www.ebi.ac.uk/efo/EFO_0802661	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274813/harmonised/GCST90274813.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274813/harmonised/GCST90274813.h.tsv.gz		GCST90274813.h.tsv.gz	64be98af32998310c0079e8d736779a5e2268ccf96a31509fea1bfd96130ee96	sha256	343728343	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.09311	estimated_from_source_maf	sd	total	analysis_level	11793				selected_ready_source	
2505	GCST90274814	GCST90274814	Interleukin-5 levels	Interleukin-5 levels	obsolete_interleukin-5 measurement	http://www.ebi.ac.uk/efo/EFO_0801729	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274814/harmonised/GCST90274814.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274814/harmonised/GCST90274814.h.tsv.gz		GCST90274814.h.tsv.gz	15ddbff23a238206f7c618cdf7269f7eb4180adf1d4f9afaeccaf28c31849045	sha256	343698813	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.09282	estimated_from_source_maf	sd	total	analysis_level	11792				selected_ready_source	
2506	GCST90274815	GCST90274815	Interleukin-6 levels	Interleukin-6 levels	interleukin-6 measurement	http://www.ebi.ac.uk/efo/EFO_0004810	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274815/harmonised/GCST90274815.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274815/harmonised/GCST90274815.h.tsv.gz		GCST90274815.h.tsv.gz	576803b56f04de8dbcf765f8db36a159948b69586e85dc32a4f6bb5b8146d930	sha256	351427109	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.09265	estimated_from_source_maf	sd	total	analysis_level	14743				selected_ready_source	
2507	GCST90274816	GCST90274816	Interleukin-7 levels	Interleukin-7 levels	obsolete_interleukin-7 measurement	http://www.ebi.ac.uk/efo/EFO_0802662	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274816/harmonised/GCST90274816.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274816/harmonised/GCST90274816.h.tsv.gz		GCST90274816.h.tsv.gz	33ea8ff59e1cebab5109ba587112d5a161628e253224153de7795e2ecbd723f5	sha256	351596202	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.0946	estimated_from_source_maf	sd	total	analysis_level	14736				selected_ready_source	
2508	GCST90274817	GCST90274817	Interleukin-8 levels	Interleukin-8 levels	interleukin-8 measurement	http://www.ebi.ac.uk/efo/EFO_0004811	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274817/harmonised/GCST90274817.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274817/harmonised/GCST90274817.h.tsv.gz		GCST90274817.h.tsv.gz	d5dbaba8a0ca3c6a3ca37a7171f7237709594d679e7a4d1e10cc6452d76242ef	sha256	351472291	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.09174	estimated_from_source_maf	sd	total	analysis_level	14744				selected_ready_source	
2509	GCST90274818	GCST90274818	Latency-associated peptide transforming growth factor beta 1 levels	Latency-associated peptide transforming growth factor beta 1 levels	TGF-beta 1 level	OBA:2050147	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274818/harmonised/GCST90274818.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274818/harmonised/GCST90274818.h.tsv.gz		GCST90274818.h.tsv.gz	29c4d36b71d968cc892bdf48c28ce8eb650fc55c803f9b14da95e2a92ad97cd5	sha256	351607206	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.08384	estimated_from_source_maf	sd	total	analysis_level	14736				selected_ready_source	
2510	GCST90274819	GCST90274819	Leukemia inhibitory factor levels	Leukemia inhibitory factor levels	leukemia inhibitory factor measurement	http://www.ebi.ac.uk/efo/EFO_0801764	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274819/harmonised/GCST90274819.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274819/harmonised/GCST90274819.h.tsv.gz		GCST90274819.h.tsv.gz	ccb3895fe0436e8658a8653186ca89e33c412152b81b1987db4f4d757ddc3cdc	sha256	343728086	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.07804	estimated_from_source_maf	sd	total	analysis_level	11793				selected_ready_source	
2511	GCST90274820	GCST90274820	Leukemia inhibitory factor receptor levels	Leukemia inhibitory factor receptor levels	leukemia inhibitory factor receptor measurement	http://www.ebi.ac.uk/efo/EFO_0010788	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90274001-GCST90275000/GCST90274820/harmonised/GCST90274820.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90274001-GCST90275000/GCST90274820/harmonised/GCST90274820.h.tsv.gz		GCST90274820.h.tsv.gz	edab9e60d0df9514c60c5281972e6f77bc3d5a765c6f77b053af7d636abd4348	sha256	343545943	GRCh38	EBI GWAS Catalog terms of use		37563310		Zhao JH	European	EUR	af_assigned	sd	1.04652	estimated_from_source_maf	sd	total	analysis_level	11784				selected_ready_source	
