analysis_index	analysis_id	source_analysis_id	source_label	analysis_label	trait_ontology_label	trait_ontology_id	trait_ontology_mapping_method	source_file	source_url	source_bundle_id	downloaded_file	checksum	checksum_algorithm	size_bytes	source_genome_build	license	publication_doi	publication_pmid	consortium	first_author	source_ancestry_label	assigned_ancestry	ancestry_assignment_method	original_effect_scale	original_sd	original_sd_method	stored_effect_scale	sample_size_kind	sample_size_scope	sample_size	n_cases	n_controls	analysis_group_id	inclusion_reason	exclude_from_build
20	GCST001791	GCST001791	Urate levels	Urate levels	urate measurement	http://www.ebi.ac.uk/efo/EFO_0004531	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001791/harmonised/23263486-GCST001791-EFO_0004531.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001791/harmonised/23263486-GCST001791-EFO_0004531.h.tsv.gz		23263486-GCST001791-EFO_0004531.h.tsv.gz	156772b7e9d8166f30f986250ffa0d6cda69820f73e2ee072676fc9ad6d1afa7	sha256	88946429	GRCh38	EBI GWAS Catalog terms of use		23263486		Kottgen A	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	110347				excluded: ancestry_unassigned: gate_reason=overlap	true
21	GCST001837	GCST001837	Intelligence (childhood)	Intelligence (childhood)	intelligence	http://www.ebi.ac.uk/efo/EFO_0004337	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001837/harmonised/23358156-GCST001837-EFO_0004337.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001837/harmonised/23358156-GCST001837-EFO_0004337.h.tsv.gz		23358156-GCST001837-EFO_0004337.h.tsv.gz	88cc7e605e681aef44afa57b823167cd27c65901a2cf32e046d00a91a1cd3f65	sha256	44195007	GRCh38	EBI GWAS Catalog terms of use		23358156		Benyamin B	European	EUR	af_assigned	sd	1.00954	estimated_from_source_maf	sd	total	analysis_level	12441				selected_ready_source	
22	GCST001969	GCST001969	Heart rate	Heart rate	heart rate	OBA:1001087	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST001001-GCST002000/GCST001969/harmonised/23583979-GCST001969-EFO_0004326.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001969/harmonised/23583979-GCST001969-EFO_0004326.h.tsv.gz		23583979-GCST001969-EFO_0004326.h.tsv.gz	3029bf97f03458efca1a08c93e1cc5e2616c5b62e476a44cb1d691ba67a3b7d9	sha256	107421411	GRCh38	EBI GWAS Catalog terms of use		23583979		den Hoed M	European	EUR	af_assigned	sd	11.2117	estimated_from_source_maf	sd	total	analysis_level	92355				selected_ready_source	
23	GCST002047	GCST002047	Educational attainment (college completion)	Educational attainment (college completion)	self reported educational attainment	http://www.ebi.ac.uk/efo/EFO_0004784	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST002001-GCST003000/GCST002047/harmonised/GCST002047.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST002001-GCST003000/GCST002047/harmonised/GCST002047.h.tsv.gz		GCST002047.h.tsv.gz	c76074e776502e20f373569d33b8780ecefdd27847d5500881be8d24edbf81f6	sha256	42669114	GRCh38	EBI GWAS Catalog terms of use		23722424		Rietveld CA	European	EUR	af_assigned	sd	2.42903	estimated_from_source_maf	sd	total	analysis_level	126559				selected_ready_source	
24	GCST002216	GCST002216	Triglycerides	Triglycerides	triglyceride measurement	http://www.ebi.ac.uk/efo/EFO_0004530	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST002001-GCST003000/GCST002216/harmonised/24097068-GCST002216-EFO_0004530.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST002001-GCST003000/GCST002216/harmonised/24097068-GCST002216-EFO_0004530.h.tsv.gz		24097068-GCST002216-EFO_0004530.h.tsv.gz	08e44ed1baec6bddc881063e72e0b011d6ac150263cc519fdd6d0ead9f10502d	sha256	80689144	GRCh38	EBI GWAS Catalog terms of use		24097068		Willer CJ	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	94595				excluded: ancestry_unassigned: gate_reason=overlap	true
25	GCST002221	GCST002221	Cholesterol, total	Cholesterol, total	total cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004574	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST002001-GCST003000/GCST002221/harmonised/24097068-GCST002221-EFO_0004574.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST002001-GCST003000/GCST002221/harmonised/24097068-GCST002221-EFO_0004574.h.tsv.gz		24097068-GCST002221-EFO_0004574.h.tsv.gz	5fad88c5f2d43bb982b9cacc5d70bbe8f6b88af7918c31b9f368bb7b5d1578f5	sha256	81076326	GRCh38	EBI GWAS Catalog terms of use		24097068		Willer CJ	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	94595				excluded: ancestry_unassigned: gate_reason=overlap	true
26	GCST002222	GCST002222	LDL cholesterol	LDL cholesterol	low density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004611	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST002001-GCST003000/GCST002222/harmonised/24097068-GCST002222-EFO_0004611.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST002001-GCST003000/GCST002222/harmonised/24097068-GCST002222-EFO_0004611.h.tsv.gz		24097068-GCST002222-EFO_0004611.h.tsv.gz	2a9e2a7be40b5de0288279f0d08f29b108d85a2cbf50bbf367075684433deedd	sha256	80745488	GRCh38	EBI GWAS Catalog terms of use		24097068		Willer CJ	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	94595				excluded: ancestry_unassigned: gate_reason=overlap	true
27	GCST002223	GCST002223	HDL cholesterol	HDL cholesterol	high density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004612	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST002001-GCST003000/GCST002223/harmonised/24097068-GCST002223-EFO_0004612.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST002001-GCST003000/GCST002223/harmonised/24097068-GCST002223-EFO_0004612.h.tsv.gz		24097068-GCST002223-EFO_0004612.h.tsv.gz	2eaa4906cb3377d6e003d0562aef38ec53434c5ae2619b674b7236a46a969e8d	sha256	82466200	GRCh38	EBI GWAS Catalog terms of use		24097068		Willer CJ	European		unassigned	sd		estimated_from_source_maf	sd	total	analysis_level	94595				excluded: ancestry_unassigned: gate_reason=overlap	true
28	GCST002245	GCST002245	Alzheimer's disease (late onset)	Alzheimer's disease (late onset)	Alzheimer disease	MONDO:0004975	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST002001-GCST003000/GCST002245/harmonised/24162737-GCST002245-EFO_0000249.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST002001-GCST003000/GCST002245/harmonised/24162737-GCST002245-EFO_0000249.h.tsv.gz		24162737-GCST002245-EFO_0000249.h.tsv.gz	c087e2ca9eb9bd2168781b03a6102b22ca860a838e3332318f32455e41177a97	sha256	206572674	GRCh38	EBI GWAS Catalog terms of use		24162737		Lambert JC	European		unassigned	log_or		binary_trait	log_or	case_control	analysis_level	54162	17008	37154		excluded: ancestry_unassigned: gate_reason=overlap	true
29	GCST002318	GCST002318	Rheumatoid arthritis	Rheumatoid arthritis	rheumatoid arthritis	MONDO:0008383	source_provided	/data/opengwasdb/raw/ebi-gwas-catalog/GCST002001-GCST003000/GCST002318/harmonised/24390342-GCST002318-EFO_0000685.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST002001-GCST003000/GCST002318/harmonised/24390342-GCST002318-EFO_0000685.h.tsv.gz		24390342-GCST002318-EFO_0000685.h.tsv.gz	cf50a79bec5cb584c9af7239153c4795c4b9a7503ce4db9c944a1e8a05b2bfba	sha256	252958697	GRCh38	EBI GWAS Catalog terms of use		24390342		Okada Y	European		unassigned	log_or		binary_trait	log_or	case_control	analysis_level	79799	19234	60565		excluded: ancestry_unassigned: gate_reason=overlap	true
