analysis_id	publication_pmid	trait	study_design	sample_size	readiness_status	data_url	yaml_url	data_file	yaml_file	data_bytes	yaml_bytes	sha256	error	stratum
GCST90446781	39505872	Central retinal vein equivalent	quantitative	8142	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90446001-GCST90447000/GCST90446781/harmonised/GCST90446781.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90446001-GCST90447000/GCST90446781/harmonised/GCST90446781.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90446001-GCST90447000/GCST90446781/harmonised/GCST90446781.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90446001-GCST90447000/GCST90446781/harmonised/GCST90446781.h.tsv.gz-meta.yaml	258352416	835	e4b241f53d28e990768624a73ce7828a93126512d127afaaf454e47f8e9d172a		explicit_edge_case
GCST90454215	40069456	ICD10 N83.0, N83.1, N83.2: Ovarian cyst, including follicular cyst, corpus luteum cyst, and other/unspecified ovarian cyst	case-control	232058	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90454001-GCST90455000/GCST90454215/harmonised/GCST90454215.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90454001-GCST90455000/GCST90454215/harmonised/GCST90454215.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90454001-GCST90455000/GCST90454215/harmonised/GCST90454215.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90454001-GCST90455000/GCST90454215/harmonised/GCST90454215.h.tsv.gz-meta.yaml	601684877	1165	cd1bd478f3cb2ecb8e4b582fa5f116acd7a7388aa005b25d2e42b1b8475c771c		case_control_decile_8
GCST90454231	40069456	ICD10 O12: Gestational oedema and proteinuria without hypertension	case-control	289609	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90454001-GCST90455000/GCST90454231/harmonised/GCST90454231.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90454001-GCST90455000/GCST90454231/harmonised/GCST90454231.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90454001-GCST90455000/GCST90454231/harmonised/GCST90454231.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90454001-GCST90455000/GCST90454231/harmonised/GCST90454231.h.tsv.gz-meta.yaml	609703188	1108	2b1a8f80cfe00050e83b49312f4eb20be840223425b5a26d4a7d50106b5891a4		case_control_decile_8
GCST90454243	40069456	ICD10 O73: Retained placenta and membranes, without haemorrhage	case-control	265562	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90454001-GCST90455000/GCST90454243/harmonised/GCST90454243.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90454001-GCST90455000/GCST90454243/harmonised/GCST90454243.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90454001-GCST90455000/GCST90454243/harmonised/GCST90454243.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90454001-GCST90455000/GCST90454243/harmonised/GCST90454243.h.tsv.gz-meta.yaml	609869540	1105	47d12621f0a659d4741f90807275deff6b8a967700e3ac99fb3446af286b8ae2		case_control_decile_9
GCST90454346	32424353	Breast cancer (luminal B)	case-control	91477	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90454001-GCST90455000/GCST90454346/harmonised/GCST90454346.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90454001-GCST90455000/GCST90454346/harmonised/GCST90454346.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90454001-GCST90455000/GCST90454346/harmonised/GCST90454346.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90454001-GCST90455000/GCST90454346/harmonised/GCST90454346.h.tsv.gz-meta.yaml	726692683	1604	016dbece70de465bb9b78270618f1c888b8a87b300dc4c5579499a7009a1658d		case_control_decile_9
GCST90472778	39663699	Diastolic blood pressure	quantitative	174014	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90472001-GCST90473000/GCST90472778/harmonised/GCST90472778.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90472001-GCST90473000/GCST90472778/harmonised/GCST90472778.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90472001-GCST90473000/GCST90472778/harmonised/GCST90472778.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90472001-GCST90473000/GCST90472778/harmonised/GCST90472778.h.tsv.gz-meta.yaml	469307367	871	73d3dd9d220e271dca4a57e521b51d7ee8b16ccbcf3a9b280df595817934a761		quant_decile_9
GCST90472810	38527140	White matter integrity (fractional anisotropy)	quantitative	36533	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90472001-GCST90473000/GCST90472810/harmonised/GCST90472810.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90472001-GCST90473000/GCST90472810/harmonised/GCST90472810.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90472001-GCST90473000/GCST90472810/harmonised/GCST90472810.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90472001-GCST90473000/GCST90472810/harmonised/GCST90472810.h.tsv.gz-meta.yaml	434961852	725	f44b5814984109c2cc43f1b82ea1d746b827216b0de268ec7e1aa9ef71a31a77		quant_decile_8
GCST90483500	40229599	Polycystic ovary syndrome	case-control	444734	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90483001-GCST90484000/GCST90483500/harmonised/GCST90483500.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90483001-GCST90484000/GCST90483500/harmonised/GCST90483500.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90483001-GCST90484000/GCST90483500/harmonised/GCST90483500.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90483001-GCST90484000/GCST90483500/harmonised/GCST90483500.h.tsv.gz-meta.yaml	226335980	961	db3408ab979b70be86e63aff228938994a35964867c95a4f1dd5e1622589c95e		case_control_decile_3
GCST90502911	40216759	Body mass index	quantitative	88873	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90502001-GCST90503000/GCST90502911/harmonised/GCST90502911.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90502001-GCST90503000/GCST90502911/harmonised/GCST90502911.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90502001-GCST90503000/GCST90502911/harmonised/GCST90502911.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90502001-GCST90503000/GCST90502911/harmonised/GCST90502911.h.tsv.gz-meta.yaml	4048742665	1820	9477ada280c06d4ae6b92af6c22de22ed2a6b47de0f746d24ddb92feb3a6b1c6		quant_decile_10
GCST90502916	40468967	CD34+ cell frequency in peripheral blood following G-CSF mobilization	quantitative	564	ok	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90502001-GCST90503000/GCST90502916/harmonised/GCST90502916.h.tsv.gz	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90502001-GCST90503000/GCST90502916/harmonised/GCST90502916.h.tsv.gz-meta.yaml	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90502001-GCST90503000/GCST90502916/harmonised/GCST90502916.h.tsv.gz	/data/opengwasdb/raw/ebi-gwas-catalog/GCST90502001-GCST90503000/GCST90502916/harmonised/GCST90502916.h.tsv.gz-meta.yaml	45016417	1151	6aed935eb78fb03d3f878b74cefa84774a7aaf618a47c3f3156642d044e9f4c9		quant_decile_1
